COLLEGE,INCOME,OVERAGE,LEFTOVER,HOUSE,HANDSET_PRICE,OVER_15MINS_CALLS_PER_MONTH,AVERAGE_CALL_DURATION,REPORTED_SATISFACTION,REPORTED_USAGE_LEVEL,CONSIDERING_CHANGE_OF_PLAN,CHURN
zero,114058,77,8,186119,684,3,4,very_unsat,little,considering,STAY
zero,84007,0,29,369274,165,1,2,very_unsat,very_little,actively_looking_into_it,LEAVE
one,80750,152,34,830114,356,15,1,unsat,very_high,considering,STAY
one,117047,149,0,670271,693,23,8,very_sat,very_high,no,LEAVE
zero,64470,185,17,221335,375,15,13,very_unsat,little,no,LEAVE
one,115690,301,0,523206,680,23,11,unsat,little,considering,STAY
zero,46005,0,9,171505,160,0,6,very_unsat,little,considering,STAY
zero,153062,88,84,547222,554,4,2,sat,very_high,perhaps,LEAVE
zero,53338,235,49,955786,256,25,1,avg,little,no,STAY
one,117987,0,0,909803,667,0,8,very_unsat,very_high,considering,LEAVE
zero,87355,75,69,238371,268,4,1,very_unsat,little,considering,LEAVE
zero,116853,202,70,229874,500,13,2,avg,high,no,LEAVE
one,96385,0,23,749110,371,1,4,very_sat,little,considering,STAY
zero,79421,81,0,349377,236,5,10,sat,high,considering,LEAVE
one,82971,0,24,278936,357,0,4,very_unsat,little,considering,STAY
zero,127712,88,65,166230,419,3,2,very_sat,little,actively_looking_into_it,STAY
one,31897,217,16,204432,186,27,6,very_sat,little,actively_looking_into_it,LEAVE
one,109123,0,70,158981,707,0,2,very_unsat,very_little,considering,STAY
zero,42254,0,65,284282,168,1,2,sat,little,no,STAY
zero,55328,195,0,203196,316,4,12,very_unsat,very_high,no,LEAVE
one,43275,123,62,834120,209,24,1,very_unsat,little,considering,LEAVE
one,146844,66,17,625485,418,5,5,sat,very_high,considering,STAY
zero,91597,0,38,735153,870,1,2,unsat,high,actively_looking_into_it,STAY
zero,152370,0,36,990619,819,1,2,very_sat,avg,considering,STAY
zero,34884,87,23,456794,228,0,5,unsat,very_high,considering,LEAVE
zero,149437,0,35,397772,785,1,14,very_sat,high,considering,LEAVE
zero,46976,58,87,179587,178,4,2,avg,little,actively_looking_into_it,LEAVE
one,66917,48,6,337218,275,5,15,very_unsat,little,actively_looking_into_it,STAY
zero,53835,251,12,873917,264,13,4,sat,very_little,no,LEAVE
one,20065,0,0,390113,180,0,15,unsat,little,actively_looking_into_it,STAY
zero,144348,0,0,234171,184,0,4,very_sat,very_high,actively_looking_into_it,STAY
zero,129579,229,15,693674,447,27,5,avg,very_high,no,LEAVE
one,29589,0,11,291748,240,4,10,very_sat,little,considering,STAY
one,117250,0,16,332803,648,1,6,unsat,little,no,STAY
one,40684,160,59,343583,225,21,4,unsat,very_high,no,STAY
zero,97971,46,73,621305,346,5,2,unsat,little,actively_looking_into_it,STAY
zero,103518,0,51,787029,567,1,6,unsat,very_little,considering,LEAVE
zero,80819,202,0,329593,297,3,13,very_sat,little,never_thought,LEAVE
zero,83780,190,0,855056,360,15,13,very_unsat,little,no,STAY
zero,38680,40,0,487992,356,5,15,very_sat,little,no,STAY
zero,99494,0,0,628887,323,1,9,very_unsat,little,no,STAY
zero,83886,0,52,462926,269,1,2,unsat,very_little,actively_looking_into_it,STAY
one,85187,0,21,375764,260,1,5,very_unsat,little,considering,STAY
one,114653,56,64,289593,764,26,1,very_unsat,little,considering,LEAVE
one,80989,254,30,591053,259,29,1,very_sat,little,actively_looking_into_it,LEAVE
zero,131223,57,7,257013,877,3,5,very_sat,very_high,never_thought,STAY
one,22365,0,11,475735,208,0,4,very_unsat,very_high,considering,STAY
one,59543,78,11,450771,393,5,6,very_unsat,little,considering,STAY
one,51984,0,0,985758,306,0,9,very_unsat,high,considering,LEAVE
one,43764,54,33,907382,197,4,2,very_sat,very_little,no,STAY
zero,137683,0,69,539481,488,0,4,avg,very_high,no,STAY
one,23557,158,0,154908,220,18,12,very_unsat,little,actively_looking_into_it,LEAVE
one,128559,146,43,372974,402,26,13,very_sat,high,considering,LEAVE
zero,52197,0,15,621101,255,1,11,unsat,little,considering,STAY
one,145121,178,0,429030,583,24,10,very_unsat,little,considering,LEAVE
zero,58761,179,13,261039,368,3,5,very_sat,little,no,STAY
one,145824,63,42,296166,744,3,1,very_unsat,very_little,considering,LEAVE
one,65994,70,23,298452,334,5,6,sat,little,considering,LEAVE
one,104106,182,43,218439,845,1,2,very_unsat,very_high,considering,STAY
zero,114498,212,68,664966,446,3,2,avg,very_little,actively_looking_into_it,LEAVE
zero,98453,64,68,185101,255,4,2,very_unsat,very_little,perhaps,LEAVE
one,32607,46,85,388866,131,4,5,very_sat,little,never_thought,LEAVE
zero,29630,56,15,477799,233,5,6,very_sat,avg,actively_looking_into_it,LEAVE
one,131330,0,10,214982,730,1,4,very_unsat,very_little,considering,STAY
zero,23523,0,0,866823,189,1,15,very_sat,little,considering,STAY
zero,37499,0,0,157783,185,1,14,avg,little,considering,STAY
one,99877,229,8,602814,398,0,4,sat,little,considering,STAY
one,136995,0,88,991682,445,0,2,avg,very_high,considering,LEAVE
one,101424,167,0,282420,543,22,8,avg,very_high,considering,LEAVE
zero,41885,0,85,154009,343,1,1,very_sat,avg,considering,STAY
one,66208,0,0,473222,343,1,10,very_sat,very_high,considering,LEAVE
zero,70418,41,63,227517,392,3,10,very_sat,very_high,considering,STAY
one,139008,75,0,601106,822,3,12,avg,little,never_thought,LEAVE
zero,57840,180,0,582757,353,13,13,very_unsat,very_high,actively_looking_into_it,LEAVE
one,25124,62,75,289950,209,4,2,very_unsat,little,perhaps,STAY
one,29635,189,46,749399,185,11,2,avg,high,considering,STAY
one,94037,0,43,275472,263,1,2,avg,very_little,no,STAY
one,64202,157,0,451233,345,27,15,unsat,very_little,considering,LEAVE
zero,34943,59,0,569427,130,4,14,sat,little,actively_looking_into_it,STAY
one,147936,208,19,764252,223,11,6,very_unsat,little,actively_looking_into_it,LEAVE
one,146161,0,80,288016,712,0,2,unsat,very_little,no,LEAVE
zero,143292,0,42,339826,808,0,2,unsat,very_little,actively_looking_into_it,LEAVE
zero,101541,0,0,593931,615,0,10,very_unsat,very_little,considering,LEAVE
one,75859,52,0,267357,263,3,11,very_unsat,little,actively_looking_into_it,STAY
zero,77402,0,24,973216,381,1,6,very_unsat,little,never_thought,STAY
one,143897,56,68,486458,660,3,1,very_sat,little,actively_looking_into_it,STAY
zero,128971,0,8,174990,858,1,5,very_unsat,little,no,STAY
one,70853,26,68,285606,308,0,2,very_unsat,very_high,no,STAY
one,100980,0,15,599105,716,1,4,avg,very_little,considering,STAY
one,137640,0,67,344964,667,1,1,unsat,high,actively_looking_into_it,LEAVE
one,132565,251,17,225177,185,15,4,unsat,very_high,no,LEAVE
one,70243,188,38,201872,147,25,1,very_unsat,avg,considering,LEAVE
one,90910,55,72,706039,346,3,2,very_sat,very_little,actively_looking_into_it,LEAVE
one,36066,256,46,955894,176,3,8,very_unsat,very_high,considering,STAY
one,30539,207,0,242768,182,15,12,very_sat,high,considering,LEAVE
one,132146,48,5,283681,630,5,5,unsat,high,never_thought,STAY
one,153831,0,48,843392,749,0,1,unsat,very_little,actively_looking_into_it,LEAVE
one,24502,0,22,338917,196,1,6,very_unsat,little,considering,LEAVE
zero,64860,46,24,582558,322,3,6,very_unsat,very_little,actively_looking_into_it,LEAVE
zero,63628,165,0,501172,395,10,10,very_unsat,little,considering,LEAVE
zero,32182,0,0,747208,204,0,13,very_sat,very_high,considering,STAY
zero,59361,211,0,286690,377,1,12,sat,very_little,actively_looking_into_it,STAY
zero,114492,180,5,924951,445,11,6,unsat,little,considering,LEAVE
zero,92282,0,17,178962,256,1,4,very_unsat,little,no,STAY
one,151503,43,85,273833,756,5,1,very_sat,very_high,no,LEAVE
zero,109612,0,6,156888,145,1,6,unsat,little,considering,STAY
one,133827,89,12,165026,887,3,4,very_sat,very_high,no,STAY
one,72820,200,0,351414,886,26,14,sat,little,considering,LEAVE
one,69414,214,0,401900,229,10,13,very_unsat,little,never_thought,LEAVE
zero,69553,0,70,222662,147,10,1,unsat,little,actively_looking_into_it,LEAVE
zero,25512,0,0,660594,223,0,11,very_unsat,little,considering,LEAVE
one,61392,64,0,559351,223,5,1,very_unsat,little,considering,STAY
zero,118797,220,0,398173,683,18,2,very_unsat,little,considering,LEAVE
zero,134931,0,0,771570,674,25,11,unsat,very_little,no,LEAVE
zero,33992,145,0,485593,249,11,10,unsat,very_little,no,LEAVE
one,48597,74,81,152223,142,3,1,unsat,little,actively_looking_into_it,STAY
zero,48619,222,17,267344,176,10,1,sat,very_high,actively_looking_into_it,LEAVE
one,32586,65,0,594353,446,5,11,unsat,little,perhaps,LEAVE
one,126346,184,0,196904,843,18,14,very_unsat,little,no,LEAVE
zero,125531,59,72,597256,894,4,1,very_sat,high,considering,LEAVE
zero,37155,206,21,994555,209,12,5,very_unsat,very_high,considering,STAY
zero,73662,0,0,399508,288,1,8,very_unsat,very_high,no,LEAVE
one,135599,0,8,959156,555,1,5,very_unsat,high,considering,STAY
one,33596,205,76,179256,186,18,2,very_sat,high,actively_looking_into_it,LEAVE
zero,92747,186,16,372399,452,11,5,very_sat,very_little,no,LEAVE
one,142144,192,15,774317,581,29,4,unsat,very_little,never_thought,LEAVE
one,129446,194,19,535234,808,29,5,avg,very_little,actively_looking_into_it,LEAVE
one,151610,73,0,350149,869,3,2,very_sat,very_little,perhaps,LEAVE
one,145345,56,76,518002,607,5,2,very_sat,very_little,actively_looking_into_it,LEAVE
one,115564,0,0,342568,880,1,13,very_unsat,very_little,considering,STAY
one,35581,46,0,221530,200,3,10,very_unsat,little,considering,STAY
one,33962,40,36,418041,182,4,1,sat,very_little,considering,LEAVE
zero,116049,60,34,224490,451,5,1,very_unsat,very_high,actively_looking_into_it,LEAVE
one,44787,75,50,663981,206,5,1,unsat,little,considering,STAY
one,157530,0,0,161817,601,0,12,unsat,very_little,actively_looking_into_it,LEAVE
one,111374,215,0,204811,568,28,15,very_sat,avg,perhaps,LEAVE
one,97657,42,6,722147,270,5,6,very_sat,little,no,STAY
one,67503,0,73,329504,282,0,1,very_sat,very_high,no,STAY
one,145123,183,18,690485,610,24,4,very_sat,high,no,STAY
zero,104543,248,22,210226,705,22,2,very_unsat,avg,no,LEAVE
zero,131282,82,0,416200,601,4,8,very_sat,very_high,no,STAY
zero,42663,0,34,644297,220,1,1,very_sat,avg,no,STAY
one,132780,85,0,865323,665,3,6,very_sat,little,actively_looking_into_it,STAY
one,44898,75,49,523174,236,3,1,unsat,little,no,LEAVE
one,152739,154,24,182108,495,26,6,very_sat,high,perhaps,LEAVE
zero,157984,54,0,167873,245,3,10,avg,very_little,perhaps,LEAVE
one,73068,218,37,291422,363,0,2,very_unsat,very_high,no,LEAVE
one,41880,46,11,701033,229,5,5,very_sat,avg,never_thought,STAY
zero,65905,42,17,756525,274,5,5,very_sat,high,no,STAY
one,89560,51,0,616579,384,4,15,unsat,very_little,considering,STAY
one,31456,189,8,543923,193,18,6,very_sat,very_high,no,STAY
zero,38656,86,0,951479,190,3,13,unsat,avg,actively_looking_into_it,LEAVE
zero,103546,0,11,693032,279,1,5,unsat,very_little,perhaps,STAY
one,125845,0,6,772123,464,1,11,very_sat,high,actively_looking_into_it,STAY
one,91158,195,87,288875,321,3,1,very_sat,little,considering,LEAVE
zero,51620,75,21,415732,320,5,1,very_sat,high,considering,STAY
zero,52168,209,0,368473,330,14,11,very_unsat,very_high,actively_looking_into_it,LEAVE
one,46604,226,0,769054,230,0,8,very_unsat,very_high,actively_looking_into_it,STAY
zero,96450,212,0,348159,210,25,10,unsat,very_little,considering,LEAVE
zero,95650,60,0,649105,318,4,14,unsat,little,no,STAY
zero,55562,202,0,222272,283,3,9,very_sat,very_little,considering,LEAVE
zero,110125,0,10,170628,517,1,6,avg,very_high,never_thought,STAY
one,138100,200,23,434073,717,21,4,very_sat,very_little,considering,LEAVE
one,89523,0,19,455468,368,0,6,very_sat,little,actively_looking_into_it,STAY
one,68214,59,0,312753,268,12,5,sat,little,considering,STAY
one,99706,70,0,270769,355,4,11,very_sat,very_little,considering,LEAVE
one,34193,240,89,659870,609,19,1,very_sat,very_little,perhaps,STAY
zero,46487,218,59,604975,222,24,13,very_sat,very_high,no,STAY
zero,134567,0,7,631772,713,1,4,very_sat,very_high,actively_looking_into_it,STAY
zero,51690,0,11,266118,277,1,4,unsat,very_high,no,STAY
zero,22823,63,29,315575,197,5,1,very_sat,little,considering,STAY
zero,40985,0,30,217741,157,0,1,very_sat,little,no,LEAVE
one,66211,155,38,217009,338,13,2,very_sat,avg,considering,LEAVE
zero,119385,61,40,385519,443,4,11,unsat,very_little,actively_looking_into_it,LEAVE
one,43508,0,0,779875,230,0,12,very_unsat,little,never_thought,STAY
zero,103337,68,15,471695,825,3,5,unsat,little,actively_looking_into_it,STAY
one,55000,87,0,764024,328,3,8,unsat,little,no,STAY
zero,70784,194,76,151927,303,24,1,very_unsat,very_high,no,LEAVE
zero,72372,238,14,190216,367,11,5,unsat,little,never_thought,LEAVE
zero,21695,66,81,867608,196,3,2,very_sat,very_high,considering,STAY
one,67761,0,46,155536,316,0,1,sat,very_high,actively_looking_into_it,LEAVE
zero,102891,72,0,209840,453,23,9,sat,avg,actively_looking_into_it,STAY
one,21718,0,0,937351,174,0,5,very_sat,very_high,considering,STAY
zero,96340,0,82,598184,299,1,4,very_sat,little,considering,STAY
one,39631,171,16,337302,210,22,5,very_sat,little,considering,LEAVE
zero,32795,0,0,239992,358,1,4,very_sat,very_high,considering,LEAVE
zero,51781,221,11,636741,297,14,4,very_unsat,very_little,never_thought,STAY
zero,156695,96,40,645799,882,4,2,unsat,high,considering,LEAVE
one,62034,207,42,159947,301,16,1,sat,very_little,considering,LEAVE
zero,99310,182,6,837852,319,10,12,very_sat,very_high,never_thought,STAY
one,28321,0,0,989420,181,1,12,unsat,little,perhaps,STAY
zero,46590,0,17,350459,189,1,5,avg,little,no,STAY
one,104461,251,55,332081,860,19,4,very_unsat,very_little,considering,LEAVE
zero,45488,67,23,810147,241,3,5,unsat,very_little,actively_looking_into_it,STAY
one,27262,0,62,921950,148,0,2,very_unsat,very_little,actively_looking_into_it,STAY
zero,24471,0,18,497977,437,0,5,very_unsat,very_high,no,STAY
zero,46398,0,10,385088,284,1,4,very_sat,very_little,actively_looking_into_it,STAY
